KINE 406 & 426 专业词汇表
============================
格式：英文 | 中文释义 | 简要说明
Extrinsic Feedback | 外在反馈 | 来自外部来源的反馈（如教练口头指导）
Terminal Feedback | 终末反馈 | 动作完成后提供的反馈
Concurrent Feedback | 同步反馈 | 动作进行中提供的反馈
Immediate Feedback | 即时反馈 | 动作结束后立即提供的反馈
Delayed Feedback | 延迟反馈 | 动作结束后一段时间才提供的反馈
Summary Feedback | 总结反馈 | 多次尝试后一次性提供的反馈
Average Feedback | 平均反馈 | 多次尝试反馈的平均值
Faded Feedback | 衰减反馈 | 逐渐减少反馈频率的方法
Bandwidth Feedback | 带宽反馈 | 只在超出一定范围时才提供反馈
Frequency of Feedback | 反馈频率 | 提供反馈的次数比例
Relative Frequency | 相对频率 | 反馈占总尝试次数的比例

【学习与记忆】
Consolidation | 巩固 | 记忆从不稳定到稳定的过程
Memory Consolidation | 记忆巩固 | 记忆痕迹加强和稳定的过程
Sleep-Dependent Consolidation | 睡眠依赖巩固 | 睡眠期间发生的记忆巩固
Neural Plasticity | 神经可塑性 | 神经系统改变和适应的能力
Synaptic Plasticity | 突触可塑性 | 突触连接强度的改变
Long-Term Potentiation | 长时程增强 | LTP，突触传递效率的长期增强
Long-Term Depression | 长时程抑制 | LTD，突触传递效率的长期减弱
Motor Memory | 运动记忆 | 存储运动技能的记忆系统
Declarative Memory | 陈述性记忆 | 可以有意识回忆的记忆
Procedural Memory | 程序性记忆 | 如何做事情的记忆，通常无意识
Working Memory | 工作记忆 | 暂时保持和操作信息的系统
Short-Term Memory | 短期记忆 | 短暂保持信息的系统
Long-Term Memory | 长期记忆 | 相对永久存储信息的系统

【注意力与认知】
Attention | 注意力 | 认知资源集中于相关信息
Selective Attention | 选择性注意 | 专注于相关刺激忽略无关刺激
Divided Attention | 分配性注意 | 同时关注多个信息源
Sustained Attention | 持续注意 | 长时间保持注意力
Attention Capacity | 注意力容量 | 可用来处理信息的认知资源总量
Attention Allocation | 注意力分配 | 在不同任务间分配注意力资源
Dual-Task Paradigm | 双任务范式 | 同时执行两个任务研究注意力分配
Automaticity | 自动化 | 无需意识控制就能执行技能的状态
Conscious Processing | 意识加工 | 需要有意识控制的加工过程
Unconscious Processing | 无意识加工 | 无需意识参与的加工过程
Attentional Focus | 注意力焦点 | 注意力集中的位置
External Focus | 外部焦点 | 关注动作的效果或环境（如球杆）
Internal Focus | 内部焦点 | 关注身体部位的运动（如手臂）
Constrained Action Hypothesis | 约束行动假说 | Wulf提出，外部焦点优于内部焦点

【迁移】
Transfer of Learning | 学习迁移 | 已学技能对新技能学习的影响
Positive Transfer | 正迁移 | 已学技能促进新技能学习
Negative Transfer | 负迁移 | 已学技能干扰新技能学习
Bilateral Transfer | 双侧迁移 | 一侧肢体学习迁移到另一侧
Proactive Interference | 前摄干扰 | 旧学习干扰新学习
Retroactive Interference | 倒摄干扰 | 新学习干扰旧记忆
Specificity of Learning | 学习特异性 | 学习条件与执行条件相似时表现更好

【阶段与指标】
Verbal-Cognitive Stage | 言语认知阶段 | 学习的第一阶段，需要大量认知资源
Associative Stage | 联系阶段 | 学习的第二阶段，错误减少协调改善
Autonomous Stage | 自主阶段 | 学习的第三阶段，技能自动化执行
Fitts and Posner Model | Fitts-Posner模型 | 三阶段学习模型
Adams' Closed-Loop Theory | Adams闭环理论 | 强调反馈和记忆痕迹的理论
Memory Trace | 记忆痕迹 | 存储的运动程序
Perceptual Trace | 感知痕迹 | Adams理论中作为参考的感知信息
Error Detection and Correction | 错误检测与纠正 | 比较实际与期望结果并修正
Reaction Time | 反应时 | 从刺激呈现到反应开始的时间
Movement Time | 运动时间 | 从反应开始到运动结束的时间
Response Time | 响应时间 | 反应时+运动时间
Accuracy | 准确性 | 运动结果接近目标程度的指标
Consistency | 一致性 | 多次尝试结果相似程度的指标
Efficiency | 效率 | 用最少资源完成任务的指标
Adaptability | 适应性 | 适应新环境或任务要求的能力

【Gentile分类】
Gentile Two-Dimensional Classification | Gentile二维分类法 | 按环境和动作要求分类运动技能
Regulatory Conditions | 调节条件 | 环境中调节动作的因素
Intertrial Variability | 试验间变异性 | 环境条件在不同尝试间的变化程度
Body Stability | 身体稳定性 | Gentile分类：身体保持稳定的技能
Body Transport | 身体移动 | Gentile分类：身体移动的技能
Object Manipulation | 物体操控 | Gentile分类：操控物体的技能

【其他概念】
Agonist | 主动肌 | 产生动作的肌肉
Antagonist | 对抗肌 | 对抗主动肌动作的肌肉
Reciprocal Inhibition | 交互抑制 | 主动肌收缩时对抗肌放松
Co-contraction | 共同收缩 | 主动肌和对抗肌同时收缩
Muscle Tone | 肌张力 | 肌肉在休息状态下的张力
Proprioception | 本体感觉 | 感知身体位置和运动的能力
Kinesthesia | 运动感觉 | 感知身体部位运动的能力
Vestibular System | 前庭系统 | 内耳中感知头部位置和运动的系统
Balance | 平衡 | 保持身体稳定的能力
Posture | 姿势 | 身体各部位的相对位置

===== KINE 426：运动生物力学 =====

【运动学基础】
Kinematics | 运动学 | 描述运动而不考虑力的学科
Kinetics | 动力学 | 研究力与运动关系的学科
Displacement | 位移 | 位置的变化，矢量
Distance | 距离 | 实际路径长度，标量
Velocity | 速度 | 位移除以时间，矢量
Speed | 速率 | 距离除以时间，标量
Acceleration | 加速度 | 速度变化率，矢量
Angular Displacement | 角位移 | 旋转的角度变化
Angular Velocity | 角速度 | 角位移变化率
Angular Acceleration | 角加速度 | 角速度变化率
Projectile Motion | 抛射运动 | 物体在空中受重力作用的运动
Trajectory | 轨迹 | 物体运动经过的路径
Parabola | 抛物线 | 抛射运动的轨迹形状
Range | 射程 | 抛射物水平方向的距离
Maximum Height | 最大高度 | 抛射物达到的最高点
Launch Angle | 发射角 | 抛射初速度与水平面的夹角
Release Velocity | 释放速度 | 抛射物离开手时的速度
Release Height | 释放高度 | 抛射物离开手时的高度

【力学基础】
Force | 力 | 质量×加速度，矢量，单位牛顿(N)
Mass | 质量 | 物质的数量，标量，单位千克(kg)
Weight | 重量 | 质量×重力加速度，矢量
Gravity | 重力 | 地球对物体的吸引力
Friction | 摩擦力 | 阻碍物体相对运动的力
Normal Force | 法向力 | 垂直于接触面的支持力
Tension | 张力 | 绳索或肌腱中的拉力
Compression | 压力 | 使物体缩短的力
Shear Force | 剪切力 | 平行于接触面的力
Torque | 力矩 | 力×力臂，使物体旋转的倾向
Moment of Force | 力矩 | 同Torque
Lever | 杠杆 | 绕支点旋转的刚体
Fulcrum | 支点 | 杠杆的旋转点
Mechanical Advantage | 机械优势 | 输出力与输入力的比值
Work | 功 | 力×位移，单位焦耳(J)
Power | 功率 | 功除以时间，单位瓦特(W)
Energy | 能量 | 做功的能力
Kinetic Energy | 动能 | 运动物体具有的能量，1/2mv²
Potential Energy | 势能 | 储存的能量（如重力势能mgh）
Elastic Energy | 弹性势能 | 弹性物体变形储存的能量
Conservation of Energy | 能量守恒 | 能量不能被创造或消灭，只能转化

【牛顿定律】
Newton's First Law | 牛顿第一定律 | 惯性定律：物体保持静止或匀速直线运动
Newton's Second Law | 牛顿第二定律 | F=ma，力等于质量乘以加速度
Newton's Third Law | 牛顿第三定律 | 作用与反作用定律：力总是成对出现
Law of Inertia | 惯性定律 | 同牛顿第一定律
Inertia | 惯性 | 物体抵抗运动状态改变的性质
Equilibrium | 平衡 | 合力为零的状态
Static Equilibrium | 静态平衡 | 物体静止且合力为零
Dynamic Equilibrium | 动态平衡 | 物体匀速运动且合力为零

【向量与计算】
Vector | 矢量 | 有大小和方向的量
Scalar | 标量 | 只有大小的量
Vector Addition | 矢量加法 | 多个矢量合成的方法
Vector Resolution | 矢量分解 | 将矢量分解为分量
Resultant Force | 合力 | 多个力的矢量和
Free Body Diagram | 自由体图 | 显示物体所受全部力的图
Inverse Dynamics | 逆向动力学 | 从运动学数据计算力的方法
Forward Dynamics | 正向动力学 | 从力计算运动的方法
Link Segment Model | 分段链接模型 | 将人体视为多个刚体链接的模型
Center of Mass | 质心 | 质量集中的点
Center of Gravity | 重心 | 重力作用的点，通常与质心重合
Base of Support | 支撑面 | 身体与地面接触区域的范围

【骨骼生物力学】
Bone | 骨 | 坚硬的结缔组织，提供支撑和保护
Compact Bone | 密质骨 | 骨外层坚硬致密的部分
Cancellous Bone | 松质骨 | 骨内部海绵状的部分
Cortical Bone | 皮质骨 | 同Compact Bone
Trabecular Bone | 骨小梁 | 松质骨中的小梁结构
Osteoblast | 成骨细胞 | 形成新骨的细胞
Osteoclast | 破骨细胞 | 吸收骨的细胞
Osteocyte | 骨细胞 | 成熟的骨细胞
Wolff's Law | Wolff定律 | 骨根据所受应力重新塑造自己
Bone Remodeling | 骨重塑 | 骨持续更新和重塑的过程
Mechanical Loading | 机械负荷 | 作用于骨的物理负荷
Stress | 应力 | 单位面积上的力，σ=F/A
Strain | 应变 | 物体变形程度，ε=ΔL/L
Young's Modulus | 杨氏模量 | 材料刚度的度量，应力/应变
Elastic Region | 弹性区 | 卸载后恢复原形的变形区
Plastic Region | 塑性区 | 卸载后永久变形的区域
Yield Point | 屈服点 | 从弹性区进入塑性区的点
Ultimate Strength | 极限强度 | 材料能承受的最大应力
Stiffness | 刚度 | 抵抗变形的能力
Compliance | 柔顺性 | 易变形的程度，刚度的倒数
Anisotropic | 各向异性 | 不同方向性质不同
Isotropic | 各向同性 | 各个方向性质相同
Bone Mineral Density | 骨密度 | BMD，骨中矿物质的含量
Osteoporosis | 骨质疏松症 | 骨密度降低骨脆性增加的疾病
Osteopenia | 骨质减少 | 骨密度低于正常但尚未达到骨质疏松
Fracture | 骨折 | 骨的连续性中断
Stress Fracture | 应力性骨折 | 反复负荷导致的微小骨折
DXA | 双能X线吸收测定 | 测量骨密度的金标准方法

【肌腱与韧带】
Tendon | 肌腱 | 连接肌肉和骨的致密结缔组织
Ligament | 韧带 | 连接骨与骨的致密结缔组织
Collagen | 胶原蛋白 | 肌腱韧带中的主要蛋白质
Elastin | 弹性蛋白 | 提供弹性的蛋白质
Type I Collagen | I型胶原 | 肌腱中的主要胶原类型
Type II Collagen | II型胶原 | 软骨中的主要胶原类型
Type III Collagen | III型胶原 | 网状纤维中的胶原
Proteoglycan | 蛋白聚糖 | 含有糖胺聚糖的蛋白质
Aggrecan | 聚集蛋白聚糖 | 软骨中的主要蛋白聚糖
Hyaluronic Acid | 透明质酸 | 形成蛋白聚糖聚合物的骨干
Water Content | 含水量 | 肌腱中水分的百分比
Viscoelasticity | 粘弹性 | 兼具粘性和弹性的性质
Creep | 蠕变 | 恒定负荷下变形随时间增加
Stress Relaxation | 应力松弛 | 恒定变形下应力随时间减少
Hysteresis | 滞后 | 加载和卸载曲线不重合的现象
Toe Region | 趾区 | 应力-应变曲线的初始非线性区
Linear Region | 线性区 | 应力-应变曲线的线性部分
Failure Region | 破坏区 | 材料接近断裂的区域
Achilles Tendon | 跟腱 | 连接小腿肌肉和跟骨的肌腱
Patellar Tendon | 髌腱 | 连接髌骨和胫骨的肌腱
Rotator Cuff | 肩袖 | 稳定肩关节的四块肌肉群
ACL | 前交叉韧带 | 膝关节内防止胫骨前移的韧带
PCL | 后交叉韧带 | 膝关节内防止胫骨后移的韧带
MCL | 内侧副韧带 | 膝关节内侧的稳定韧带
LCL | 外侧副韧带 | 膝关节外侧的稳定韧带
Open Kinetic Chain | 开链运动 | 远端肢体自由活动的运动
Closed Kinetic Chain | 闭链运动 | 远端肢体固定的运动

【软骨与关节】
Cartilage | 软骨 | 覆盖在骨端的结缔组织
Hyaline Cartilage | 透明软骨 | 关节表面的软骨类型
Articular Cartilage | 关节软骨 | 覆盖在关节面的透明软骨
Fibrocartilage | 纤维软骨 | 含有大量胶原纤维的软骨（如半月板）
Elastic Cartilage | 弹性软骨 | 含有弹性纤维的软骨（如耳廓）
Chondrocyte | 软骨细胞 | 软骨中的细胞
Extracellular Matrix | 细胞外基质 | 细胞外的结构物质
Synovial Joint | 滑液关节 | 有关节腔和滑液的关节
Synovial Fluid | 滑液 | 润滑关节减少摩擦的液体
Joint Capsule | 关节囊 | 包裹关节的结缔组织
Articular Surface | 关节面 | 关节中相互接触的表面
Meniscus | 半月板 | 膝关节中的纤维软骨垫
Labrum | 盂唇 | 肩关节和髋关节窝边缘的纤维软骨环
Osteoarthritis | 骨关节炎 | 关节软骨退化的疾病
Rheumatoid Arthritis | 类风湿性关节炎 | 自身免疫性关节炎症
Microfracture | 微骨折术 | 刺激软骨再生的手术方法
Autologous Chondrocyte Implantation | 自体软骨细胞移植 | ACI，软骨修复手术
Diffusion | 扩散 | 软骨获取营养的方式（无血管）
Wolff's Law in Cartilage | 软骨的Wolff定律 | 软骨根据应力适应和重塑

【骨骼肌结构与功能】
Muscle | 肌肉 | 能够收缩产生力的组织
Skeletal Muscle | 骨骼肌 | 附着于骨骼的随意肌
Smooth Muscle | 平滑肌 | 内脏器官中的不随意肌
Cardiac Muscle | 心肌 | 心脏中的肌肉
Sarcomere | 肌节 | 肌肉收缩的基本功能单位
Myofibril | 肌原纤维 | 肌纤维中的收缩单元
Myofilament | 肌丝 | 粗肌丝和细肌丝的统称
Actin | 肌动蛋白 | 细肌丝的主要蛋白质
Myosin | 肌球蛋白 | 粗肌丝的主要蛋白质
Troponin | 肌钙蛋白 | 调节肌肉收缩的蛋白质
Tropomyosin | 原肌球蛋白 | 阻止肌动蛋白和肌球蛋白结合的蛋白质
Cross-Bridge | 横桥 | 肌球蛋白头部与肌动蛋白的结合
Sliding Filament Theory | 滑动细丝理论 | Huxley提出的肌肉收缩机制
Excitation-Contraction Coupling | 兴奋-收缩耦联 | 电兴奋触发肌肉收缩的过程
Motor Unit | 运动单位 | 一个运动神经元及其支配的所有肌纤维
Motor Neuron | 运动神经元 | 将信号从中枢神经系统传到肌肉
Muscle Fiber | 肌纤维 | 单个肌肉细胞
Type I Fiber | I型肌纤维 | 慢肌纤维，抗疲劳
Type IIa Fiber | IIa型肌纤维 | 快肌纤维，兼具速度和耐力
Type IIb Fiber | IIb型肌纤维 | 快肌纤维，速度最快易疲劳
Slow-Twitch | 慢肌 | 同Type I Fiber
Fast-Twitch | 快肌 | 同Type II Fiber
Fiber Type Composition | 肌纤维类型构成 | 肌肉中不同类型纤维的比例

【肌肉力学】
Force-Length Relationship | 力-长度关系 | 肌肉产生力与其长度的关系
Force-Velocity Relationship | 力-速度关系 | 肌肉产生力与其收缩速度的关系
Optimal Length | 最适长度 | 肌肉产生最大主动张力的长度
Resting Length | 静息长度 | 肌肉在放松状态下的长度
Active Tension | 主动张力 | 肌丝滑动产生的力
Passive Tension | 被动张力 | 非收缩成分（如结缔组织）产生的力
Total Tension | 总张力 | 主动张力+被动张力
Isometric Contraction | 等长收缩 | 肌肉长度不变产生力
Isotonic Contraction | 等张收缩 | 肌肉长度改变张力基本不变
Concentric Contraction | 向心收缩 | 肌肉缩短产生力
Eccentric Contraction | 离心收缩 | 肌肉被拉长但仍产生力
Isokinetic Contraction | 等速收缩 | 以恒定速度收缩
Preload | 前负荷 | 肌肉收缩前的长度/张力
Afterload | 后负荷 | 肌肉收缩时遇到的负荷
Hill's Model | Hill模型 | 描述肌肉力学特性的模型
Series Elastic Component | 串联弹性成分 | SEC，肌肉中的弹性成分
Parallel Elastic Component | 并联弹性成分 | PEC，肌肉中的弹性成分
Contractile Component | 收缩成分 | CC，肌丝滑动成分

【能量与代谢】
ATP | 三磷酸腺苷 | 细胞直接使用的能量货币
ADP | 二磷酸腺苷 | ATP释放能量后的产物
Phosphocreatine | 磷酸肌酸 | PCr，快速再生ATP的高能化合物
Creatine Kinase | 肌酸激酶 | 催化磷酸肌酸转移磷酸基团给ADP的酶
Aerobic Metabolism | 有氧代谢 | 需要氧气的能量产生过程
Anaerobic Metabolism | 无氧代谢 | 不需要氧气的能量产生过程
Oxidative Phosphorylation | 氧化磷酸化 | 线粒体中产生ATP的过程
Glycolysis | 糖酵解 | 葡萄糖分解为丙酮酸产生ATP的过程
Glycogen | 糖原 | 肌肉和肝脏中储存的碳水化合物
Lactic Acid | 乳酸 | 无氧糖酵解的产物
Lactate | 乳酸盐 | 乳酸的离子形式
Oxidative Capacity | 氧化能力 | 肌肉有氧代谢的能力
Glycolytic Capacity | 糖酵解能力 | 肌肉无氧代谢的能力
Mitochondrial Density | 线粒体密度 | 肌肉中线粒体的数量
Capillary Density | 毛细血管密度 | 肌肉中毛细血管的数量
Myoglobin | 肌红蛋白 | 肌肉中储存氧气的蛋白质

【神经肌肉控制】
Muscle Spindle | 肌梭 | 感知肌肉长度变化的本体感受器
Golgi Tendon Organ | 高尔基腱器官 | 感知肌腱张力的本体感受器
Stretch Reflex | 牵张反射 | 肌肉被拉长时自动收缩的反射
Gamma Motor Neuron | γ运动神经元 | 调节肌梭敏感性的神经元
Alpha Motor Neuron | α运动神经元 | 支配肌纤维收缩的运动神经元
Reciprocal Innervation | 交互神经支配 | 主动肌收缩时对抗肌放松的神经机制
Proprioceptive Neuromuscular Facilitation | 本体感觉神经肌肉促进 | PNF，一种拉伸技术
Flexibility | 柔韧性 | 关节活动的最大范围
Range of Motion | 活动范围 | ROM，关节可以移动的角度范围
Stiffness in Muscle | 肌肉僵硬 | 肌肉抵抗拉伸的性质

【筋膜】
Fascia | 筋膜 | 包裹肌肉的结缔组织
Endomysium | 肌内膜 | 包裹单个肌纤维的结缔组织
Perimysium | 肌束膜 | 包裹肌束的结缔组织
Epimysium | 肌外膜 | 包裹整块肌肉的结缔组织
Deep Fascia | 深筋膜 | 包裹肌肉群的坚韧结缔组织
Superficial Fascia | 浅筋膜 | 皮肤下方的结缔组织
Fascial Plasticity | 筋膜可塑性 | 筋膜可以根据使用改变性质

【解剖学方向术语】
Sagittal Plane | 矢状面 | 将身体分为左右两部分的垂直面
Frontal Plane | 额状面 | 将身体分为前后两部分的垂直面
Transverse Plane | 水平面 | 将身体分为上下两部分的水平面
Coronal Plane | 冠状面 | 同Frontal Plane
Longitudinal Axis | 纵轴 | 上下方向的轴
Mediolateral Axis | 内外侧轴 | 左右方向的轴
Anteroposterior Axis | 前后轴 | 前后方向的轴
Superior | 上 | 靠近头部
Inferior | 下 | 靠近脚部
Anterior | 前 | 靠近身体前侧
Posterior | 后 | 靠近身体后侧
Medial | 内侧 | 靠近身体中线
Lateral | 外侧 | 远离身体中线
Proximal | 近端 | 靠近躯干
Distal | 远端 | 远离躯干
Superficial | 浅层 | 靠近体表
Deep | 深层 | 远离体表
Ipsilateral | 同侧 | 在同一侧
Contralateral | 对侧 | 在相反侧
Pronation | 旋前 | 手掌向下或足内侧翻转
Supination | 旋后 | 手掌向上或足外侧翻转
Inversion | 足内翻 | 足底朝向内侧
Eversion | 足外翻 | 足底朝向外侧
Flexion | 屈曲 | 减小关节角度的运动
Extension | 伸展 | 增大关节角度的运动
Abduction | 外展 | 远离身体中线的运动
Adduction | 内收 | 朝向身体中线的运动
Rotation | 旋转 | 绕纵轴转动
Circumduction | 环转 | 肢体画圆的运动

【关节类型】
Synovial Joint | 滑液关节 | 自由活动的关节
Hinge Joint | 铰链关节 | 只能在一个平面屈伸（如肘）
Pivot Joint | 枢轴关节 | 旋转运动（如颈）
Ball-and-Socket Joint | 球窝关节 | 多方向运动（如髋、肩）
Ellipsoidal Joint | 椭圆关节 | 两个平面运动（如腕）
Saddle Joint | 鞍状关节 | 两个平面运动（如拇指）
Plane Joint | 平面关节 | 滑动运动（如腕骨间）
Condyloid Joint | 髁状关节 | 同Ellipsoidal Joint
Gliding Joint | 滑动关节 | 同Plane Joint

【步态分析】
Gait | 步态 | 行走的模式
Gait Cycle | 步态周期 | 从一侧足跟着地到下次同侧足跟着地的过程
Stance Phase | 支撑期 | 足接触地面的时期，占60%
Swing Phase | 摆动期 | 足离地的时期，占40%
Initial Contact | 初次着地 | 足跟接触地面的瞬间
Loading Response | 负荷反应期 | 体重转移到支撑腿的时期
Mid Stance | 中支撑期 | 身体重心在支撑脚正上方的时期
Terminal Stance | 终末支撑期 | 脚跟即将离地的时期
Preswing | 预摆动期 | 脚趾推离地面的时期
Initial Swing | 初始摆动期 | 脚离开地面加速摆动的时期
Midswing | 中摆动期 | 脚摆动经过支撑腿的时期
Terminal Swing | 终末摆动期 | 脚减速准备再次着地的时期
Double Support | 双支撑期 | 双足同时接触地面的时期
Single Support | 单支撑期 | 只有一侧足接触地面的时期
Step Length | 步长 | 一侧足跟到对侧足跟的距离
Stride Length | 跨步长 | 同侧足跟两次着地间的距离
Step Width | 步宽 | 左右足跟线的距离
Cadence | 步频 | 单位时间内的步数
Walking Speed | 行走速度 | 步长×步频
Center of Pressure | 压力中心 | COP，地面反作用力合力的作用点
Ground Reaction Force | 地面反作用力 | GRF，地面施加给身体的力
Vertical GRF | 垂直GRF | GRF的垂直分量
Anterior-Posterior GRF | 前后GRF | GRF的前后分量
Medial-Lateral GRF | 内外GRF | GRF的内外分量
Propulsive Force | 推进力 | 使身体向前的GRF分量
Braking Force | 制动力 | 使身体减速的GRF分量

【病理步态】
Trendelenburg Gait | Trendelenburg步态 | 臀中肌无力导致的摇摆步态
Antalgic Gait | 疼痛步态 | 因疼痛导致的跛行
Spastic Gait | 痉挛步态 | 中枢神经系统损伤导致的僵硬步态
Parkinsonian Gait | 帕金森步态 | 小步拖步慌张步态
Trendelenburg Sign | Trendelenburg征 | 单腿站立时骨盆向对侧倾斜

【测量与仪器】
Vicon | Vicon运动捕捉系统 | 光学运动分析系统
Motion Capture | 动作捕捉 | 记录物体或人体运动的技术
Electrogoniometer | 电角度计 | 测量关节角度的仪器
Force Plate | 测力台 | 测量地面反作用力的设备
Electromyography | 肌电图 | EMG，测量肌肉电活动的技术
Surface EMG | 表面肌电图 | 通过皮肤表面电极测量EMG
Intramuscular EMG | 肌肉内EMG | 通过针电极测量EMG
Inertial Measurement Unit | 惯性测量单元 | IMU，测量加速度和角速度的传感器
Accelerometer | 加速度计 | 测量加速度的传感器
Gyroscope | 陀螺仪 | 测量角速度的传感器
3D Motion Analysis | 三维运动分析 | 在三个维度分析运动的技术

【生物力学计算应用】
Jump Height | 跳跃高度 | 根据飞行时间计算的垂直跳跃高度
Swing Velocity | 摆动速度 | 打击/摆动动作中的速度
Release Speed | 出手速度 | 投掷/射门时球的速度
Joint Torque | 关节力矩 | 关节周围肌肉产生的力矩
Muscle Force Estimation | 肌肉力估计 | 根据力矩和反推的肌肉力
Inverse Optimization | 逆向优化 | 从运动数据推断优化目标的方法
Minimum Torque Change | 最小力矩变化 | 平滑运动的可能优化目标
Minimum Jerk | 最小急动度 | 急动度最小的平滑运动
Jerk | 急动度 | 加速度变化率，加加速度

===== 教授研究方向相关词汇 =====

【Yue Du研究方向】
Habit | 习惯 | 自动执行的无意识行为
Goal-Directed Action | 目标导向动作 | 为实现特定目标的有意识动作
Habitual Action | 习惯性动作 | 自动化执行的行为
Rewards | 奖励 | 强化学习中的正向反馈
Outcome | 结果 | 行为产生的后果
Dual-Process Theory | 双过程理论 | 习惯和目标导向行为并存的理论
Model-Based | 基于模型 | 需要构建环境模型的学习
Model-Free | 无模型 | 不需要环境模型的学习
Instrumental Learning | 工具性学习 | 通过结果学习行为
Operant Conditioning | 操作条件反射 | 同Instrumental Learning
Reinforcement Learning | 强化学习 | RL，通过试错学习最优策略
REINFORCE Algorithm | REINFORCE算法 | 策略梯度强化学习算法
Temporal Difference Learning | 时间差分学习 | TD学习，结合蒙特卡洛和动态规划
TD Error | TD误差 | 预测误差，驱动学习信号
Value Function | 价值函数 | 预期累计奖励的函数
Q-Learning | Q学习 | 无模型强化学习算法
Policy Gradient | 策略梯度 | 直接优化策略的强化学习方法
Actor-Critic | 行动者-评论家 | 结合价值评估和策略优化的RL方法
Dopamine | 多巴胺 | 与奖励和强化学习相关的神经递质
Striatum | 纹状体 | 基底节的一部分，习惯形成的关键脑区
Basal Ganglia | 基底节 | 皮层下结构与运动控制和习惯形成相关
Extinction | 消退 | 停止强化后行为逐渐减少
Extinction of Habits | 习惯消退 | 习惯行为在不再强化后减少
Outcome Devaluation | 结果贬值 | 使结果不再具有奖励性
Pavlovian Conditioning | 巴甫洛夫条件反射 | 经典条件反射
Stimulus-Response | 刺激-反应 | S-R，习惯的直接联结
Cognitive Map | 认知地图 | Tolman提出的环境心理表征
Place Cell | 位置细胞 | 海马中与空间位置相关的神经元
Grid Cell | 网格细胞 | 内嗅皮层中形成空间坐标系的神经元

【John Lawler研究方向】
Oxidative Stress | 氧化应激 | 自由基过多导致的细胞损伤
Reactive Oxygen Species | 活性氧 | ROS，具有高度活性的氧分子
Antioxidant | 抗氧化剂 | 中和自由基的物质
